dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber,timeMinPweek
AA,AA 203,LEC,2,1.5,103,,,1,160
AA,AA 204,LEC,2,1.5,31,,,2,160
AA,AA 218,LEC,2,1.5,18,,,3,160
AA,AA 222,LEC,2,1.5,83,,1;7,4,160
AA,AA 252,LEC,1,3,43,,,5,170
AA,AA 257,LEC,2,1.5,4,,,6,160
AA,AA 273,LEC,2,1.5,74,,,7,160
AA,AA 279B,LEC,2,1.5,23,,,8,160
AA,AA 279D,LEC,3,1.5,14,8,,9,240
AA,AA 294,COL,1,1.5,21,,,10,80
AA,AA 109Q,ISS,3,1.5,17,,,11,240
AA,AA 119N,ISF,2,1,12,,,12,100
AA,AA 146B,LAB,2,1.5,3,,,13,160
AA,AA 173,LEC,2,1,11,,11;12;13,14,100
