number,courseName,startTime,endTime,dayCode
0,AA 203,11,14,10100
0,AA 204,8,11,01010
0,AA 218,5,8,01010
0,AA 222,14,17,01010
0,AA 252,11,17,00001
0,AA 257,11,14,01010
0,AA 273,17,20,01010
0,AA 279B,11,14,01010
0,AA 279D,11,14,10101
0,AA 294,14,17,00100
0,BIOE 212,14,17,01010
0,BIOE 256,5,9,00001
0,BIOE 301C,11,15,10000
1,BIOE 301C,13,17,00101
0,BIOE 313,8,11,01010
0,BIOE 355,11,14,01010
0,BIOE 374B,17,21,01000
1,BIOE 374B,17,21,00010
0,BIOE 450,3,6,10001
0,BIOE 459,16,18,01010
0,BIOE 485,2,5,01010
0,CHEMENG 260,9,11,10101
0,CHEMENG 320,2,5,01010
0,CHEMENG 355,11,14,01010
1,CHEMENG 355,14,17,00100
0,CHEMENG 450,3,6,10001
0,CHEMENG 459,16,18,01010
0,CHEMENG 699,15,19,10000
0,CME 206,5,8,01010
0,CME 216,11,14,10101
0,CME 250,2,5,01010
0,CME 251,14,-6,10100
0,CME 298,5,8,01010
0,CME 306,2,5,01010
0,CME 308,5,8,10101
0,CME 323,8,11,01010
0,CME 364B,14,17,10100
0,CEE 207A,5,8,10101
0,CEE 214,17,20,01010
0,CEE 222B,9,15,00001
1,CEE 222B,15,17,00001
0,CEE 223,11,14,01010
0,CEE 226E,14,17,01010
0,CEE 237B,14,20,01010
0,CEE 241C,3,7,00001
0,CEE 246,14,20,10000
0,CEE 246B,21,24,01010
0,CEE 246S,21,24,00010
0,CEE 248,17,21,00010
0,CEE 257,8,11,00010
0,CEE 260D,5,8,01010
0,CEE 262E,11,14,10101
0,CEE 262G,1,5,10100
0,CEE 262H,15,19,10100
0,CEE 263S,8,11,01000
0,CEE 265H,11,14,01010
0,CEE 266C,14,17,10100
0,CEE 269C,9,11,10000
0,CEE 272R,2,6,01010
0,CEE 272T,11,14,00010
0,CEE 273B,16,20,01000
0,CEE 273M,14,20,10000
0,CEE 274D,2,5,01010
0,CEE 276B,11,14,01010
0,CEE 277A,5,8,01010
0,CEE 277Q,7,11,10100
0,CEE 277S,17,20,10100
0,CEE 287,7,11,10100
0,CEE 290,15,19,10000
0,CEE 296,2,5,01010
0,CEE 297M,15,19,00100
0,CEE 301,17,19,10000
0,CEE 305,17,21,01010
0,CEE 312,11,14,10101
0,CEE 314,3,7,10101
0,CEE 323C,9,11,00100
0,CEE 324,1,5,00100
0,CEE 326,13,17,00010
0,CEE 363F,11,14,01010
0,DESINST 215,3,7,01010
0,DESINST 245,11,15,10100
0,DESINST 250,11,17,00001
0,DESINST 265,11,15,01000
0,DESINST 285,11,17,10100
0,DESINST 366,3,7,01000
0,ENGR 202W,8,11,01010
0,ENGR 203,20,25,01000
1,ENGR 203,21,26,00100
2,ENGR 203,20,25,00010
3,ENGR 203,8,13,01000
4,ENGR 203,3,8,00100
0,ENGR 209A,2,5,01010
0,ENGR 277B,17,20,10100
0,ENGR 295,14,17,01010
0,ENGR 298,17,20,01000
0,ENGR 311B,19,23,00100
0,ENGR 391,5,8,01010
0,CS 129,5,8,01000
1,CS 129,11,14,10000
2,CS 129,11,14,01000
3,CS 129,11,14,00100
4,CS 129,11,14,00001
0,CS 202,17,20,00010
0,CS 210B,14,17,01010
0,CS 221,11,14,10100
1,CS 221,15,17,00001
0,CS 224U,17,20,10100
0,CS 225A,14,17,01010
0,CS 229,17,20,10100
1,CS 229,5,8,00010
2,CS 229,11,14,00010
0,CS 231N,8,11,01010
1,CS 231N,9,11,00001
0,CS 233,14,17,10100
0,CS 235,7,10,10100
0,CS 240,17,20,01010
0,CS 240LX,20,26,01010
0,CS 241,14,17,01000
0,CS 244,2,5,01010
0,CS 244B,14,17,10100
0,CS 247G,11,17,01010
0,CS 254B,17,20,10100
0,CS 272,14,17,01010
0,CS 275B,11,14,01010
0,CS 294S,5,8,01010
0,CS 298,11,14,01000
0,CS 327A,14,17,10100
0,CS 335,11,14,00101
0,CS 348B,11,14,01010
0,CS 348E,11,14,10100
0,CS 348K,14,17,01010
0,CS 350,5,8,01010
0,CS 355,2,5,01010
0,CS 360,3,7,01010
0,CS 361,14,17,01010
0,CS 368,5,8,01010
0,CS 372,2,5,01010
0,CS 377N,15,19,10100
0,CS 377Q,17,20,01010
0,CS 377U,17,20,10100
0,CS 379C,17,20,01010
0,CS 384,17,21,01000
0,CS 448P,5,8,01010
0,CS 472,3,7,00001
0,CS 520,17,21,01000
0,MATSCI 207,5,8,01010
1,MATSCI 207,8,11,00010
0,MATSCI 208,11,14,01010
0,MATSCI 209,2,5,01010
0,MATSCI 210,14,17,01010
0,MATSCI 230,14,17,00001
0,MATSCI 316,8,11,01010
0,MATSCI 341,5,9,10100
0,MATSCI 343,2,5,01010
0,MATSCI 380,11,14,01010
0,EE 207,8,11,01010
0,EE 236C,5,8,01010
0,EE 237,11,14,01010
0,EE 238,3,7,10100
0,EE 254,5,8,01010
0,EE 267,14,17,10100
0,EE 284A,5,8,01010
0,EE 285,14,17,01000
0,EE 292A,3,7,10100
0,EE 292C,14,17,01000
0,EE 292D,20,26,10000
0,EE 292E,17,20,00100
0,EE 292I,17,20,10000
0,EE 292T,11,14,00010
0,EE 303,11,14,10100
0,EE 310,17,20,00010
0,EE 311,5,8,01010
0,EE 317,11,14,01010
0,EE 323,5,9,10100
0,EE 340,11,14,01010
0,EE 348,5,8,01010
0,EE 364B,14,17,10100
0,EE 374,5,8,01010
0,EE 380,17,20,00100
0,EE 382A,17,20,01010
0,EE 382C,14,17,10100
0,EE 384S,17,20,01010
0,HRP 201C,5,9,01000
0,MED 215C,5,9,01000
0,MS&E 201,5,8,01010
0,MS&E 211,11,14,10100
0,MS&E 221,8,11,01010
0,MS&E 223,14,17,10101
0,MS&E 230,2,5,01010
0,MS&E 240,3,7,10100
0,MS&E 243,11,14,10100
0,MS&E 245B,14,17,01010
0,MS&E 250B,15,19,10000
0,MS&E 254,14,20,01000
0,MS&E 256,5,9,00001
0,MS&E 256A,5,9,00001
0,MS&E 272,13,17,00101
0,MS&E 274,17,20,01010
0,MS&E 276,11,17,00010
0,MS&E 277,2,8,01000
0,MS&E 280,3,7,10100
0,MS&E 297,17,23,01000
0,MS&E 321,5,8,10101
0,MS&E 324,5,8,10101
0,MS&E 338,15,19,10101
0,MS&E 350,14,20,01000
0,MS&E 370,13,19,00001
0,MS&E 394,11,14,01010
0,MS&E 433,19,23,01000
0,MS&E 441,5,8,01000
0,MS&E 448,17,23,01000
0,MS&E 463,5,8,01010
0,MS&E 472,17,19,00100
0,MS&E 494,17,19,10000
0,ME 110B,14,17,00010
0,ME 203,13,19,10100
0,ME 206B,5,9,10100
1,ME 206B,23,27,00010
0,ME 216M,15,19,10100
0,ME 218C,11,17,01010
0,ME 220,7,11,10100
0,ME 225,19,25,10000
0,ME 227,2,5,01010
0,ME 236,11,17,01000
0,ME 257,1,5,10101
0,ME 265,3,7,01010
0,ME 283,14,17,10100
0,ME 300C,5,8,01010
0,ME 301,5,9,10100
0,ME 304D,17,20,00100
0,ME 310C,17,20,01010
0,ME 316C,14,17,01010
0,ME 318,11,14,01000
0,ME 321,15,21,00100
0,ME 324,14,17,01010
0,ME 325,11,14,10000
0,ME 327,2,5,01010
0,ME 334,9,11,10101
0,ME 338,11,14,10101
0,ME 343,11,14,10101
0,ME 346A,3,7,10101
0,ME 352C,3,5,10101
0,ME 354,11,14,01010
0,ME 356,11,14,01010
0,ME 357,1,5,10101
0,ME 361,17,20,10100
1,ME 361,17,20,00001
0,ME 368B,17,21,01000
1,ME 368B,17,21,00010
0,ME 372,13,15,10101
0,ME 378,11,15,00100
0,ME 397,11,14,10000
0,ME 410C,11,17,00100
0,ME 485,2,5,01010
0,AA 109Q,14,17,10101
0,AA 119N,11,13,10100
0,AA 146B,11,14,01010
0,AA 173,5,7,10100
0,BIOE 32Q,5,11,00001
0,BIOE 42,14,17,01010
0,BIOE 51,11,14,01010
1,BIOE 51,14,17,01010
0,BIOE 70Q,11,14,01010
0,BIOE 72N,13,19,00100
0,BIOE 80,11,13,10101
0,BIOE 103,5,8,01010
1,BIOE 103,7,9,00001
0,BIOE 131,17,20,10100
0,BIOE 193,14,17,00100
0,BIOE 199A,17,19,01000
0,BIOE 201C,11,15,10000
0,CHEMENG 120B,14,17,10101
0,CHEMENG 130A,2,5,01010
0,CHEMENG 160,9,11,10101
0,CHEMENG 170,11,14,01010
0,CHEMENG 180,14,17,01010
0,CHEMENG 193,14,17,00100
0,CME 100,3,31,01010
0,CME 100A,3,7,01010
0,CME 102,17,21,01010
0,CME 102A,17,21,01010
0,CME 104,17,21,01010
0,CME 104A,17,21,01010
0,CME 107,2,5,01010
0,CME 193,2,5,01010
0,CME 195,8,11,01010
0,CME 197,17,20,10100
0,CEE 6,11,14,01010
0,CEE 32Q,7,11,01000
0,CEE 102W,14,17,01010
0,CEE 107A,5,8,10101
0,CEE 114,17,20,01010
0,CEE 122B,15,17,00001
1,CEE 122B,9,15,00001
0,CEE 126Z,17,19,01000
0,CEE 131D,14,20,01010
0,CEE 137B,14,20,01010
0,CEE 141C,3,7,00001
0,CEE 157,8,11,00010
0,CEE 162E,11,14,10101
0,CEE 165H,11,14,01010
0,CEE 172,5,7,10101
0,CEE 176B,11,14,01010
0,CEE 177Q,7,11,10100
0,CEE 177S,17,20,10100
0,CEE 180,5,9,01010
0,CEE 183,14,20,01010
0,CEE 192,5,8,01010
0,EE 65,5,7,10101
0,EE 101B,7,9,10101
0,EE 102B,11,14,10101
0,EE 104,2,5,01010
0,EE 109,3,5,10101
0,EE 142,11,14,10100
0,EE 178,11,14,01010
0,EE 180,14,17,10100
0,EE 185,14,17,01000
0,EE 267W,14,17,10100
0,CS 52,21,25,01010
0,CS 81SI,17,20,00010
0,CS 82SI,17,20,00010
0,CS 102,11,14,01010
0,CS 103,14,17,10101
0,CS 105,13,15,10101
1,CS 105,8,11,00010
2,CS 105,19,22,00010
0,CS 106A,11,13,10101
1,CS 106A,1,3,00100
2,CS 106A,13,15,00100
3,CS 106A,13,15,00100
4,CS 106A,13,15,00100
5,CS 106A,13,15,00100
6,CS 106A,13,15,00100
7,CS 106A,13,15,00100
8,CS 106A,15,17,00100
9,CS 106A,15,17,00100
10,CS 106A,15,17,00001
11,CS 106A,15,17,00001
12,CS 106A,15,17,00001
13,CS 106A,17,19,00001
14,CS 106A,17,19,00001
15,CS 106A,17,19,00001
16,CS 106A,15,17,00100
17,CS 106A,15,17,00100
18,CS 106A,15,17,00100
19,CS 106A,15,17,00100
20,CS 106A,15,17,00100
21,CS 106A,15,17,00100
22,CS 106A,17,19,00100
23,CS 106A,17,19,00100
24,CS 106A,17,19,00100
25,CS 106A,17,19,00100
26,CS 106A,17,19,00100
27,CS 106A,17,19,00100
28,CS 106A,19,21,00100
29,CS 106A,19,21,00100
30,CS 106A,19,21,00100
31,CS 106A,19,21,00100
32,CS 106A,19,21,00100
33,CS 106A,23,25,00100
34,CS 106A,23,25,00100
35,CS 106A,23,25,00100
36,CS 106A,23,25,00100
37,CS 106A,1,3,00010
38,CS 106A,1,3,00010
39,CS 106A,1,3,00010
40,CS 106A,3,5,00010
41,CS 106A,3,5,00010
42,CS 106A,3,5,00010
43,CS 106A,3,5,00010
44,CS 106A,5,7,00010
45,CS 106A,5,7,00010
46,CS 106A,5,7,00010
47,CS 106A,5,7,00010
48,CS 106A,5,7,00010
49,CS 106A,7,9,00010
50,CS 106A,7,9,00010
51,CS 106A,7,9,00010
52,CS 106A,7,9,00010
53,CS 106A,7,9,00010
54,CS 106A,7,9,00010
55,CS 106A,11,13,00010
56,CS 106A,11,13,00010
57,CS 106A,11,13,00010
58,CS 106A,11,13,00010
59,CS 106A,11,13,00010
60,CS 106A,11,13,00010
61,CS 106A,11,13,00010
62,CS 106A,13,15,00010
63,CS 106A,13,15,00010
64,CS 106A,13,15,00010
65,CS 106A,15,17,00010
66,CS 106A,15,17,00010
67,CS 106A,15,17,00010
68,CS 106A,15,17,00010
69,CS 106A,15,17,00010
70,CS 106A,17,19,00010
71,CS 106A,17,19,00010
72,CS 106A,17,19,00010
73,CS 106A,17,19,00010
74,CS 106A,17,19,00010
75,CS 106A,17,19,00010
76,CS 106A,19,21,00010
77,CS 106A,19,21,00010
78,CS 106A,19,21,00010
79,CS 106A,19,21,00010
80,CS 106A,23,25,00010
81,CS 106A,23,25,00010
82,CS 106A,23,25,00010
83,CS 106A,23,25,00010
84,CS 106A,1,3,00001
85,CS 106A,1,3,00001
86,CS 106A,1,3,00001
87,CS 106A,1,3,00001
88,CS 106A,3,5,00001
89,CS 106A,3,5,00001
90,CS 106A,3,5,00001
91,CS 106A,3,5,00001
92,CS 106A,5,7,00001
93,CS 106A,5,7,00001
94,CS 106A,5,7,00001
95,CS 106A,7,9,00001
96,CS 106A,7,9,00001
97,CS 106A,7,9,00001
98,CS 106A,7,9,00001
99,CS 106A,11,13,00001
100,CS 106A,11,13,00001
101,CS 106A,11,13,00001
102,CS 106A,13,15,00001
103,CS 106A,13,15,00001
104,CS 106A,13,15,00001
0,CS 106B,13,15,10101
0,CS 106E,11,13,10101
0,CS 106L,17,20,10100
0,CS 106S,9,13,00100
0,CS 107,9,13,10001
0,CS 107A,2,8,01000
0,CS 107E,14,17,10001
0,CS 109,5,8,10101
1,CS 109,9,11,00100
2,CS 109,11,13,00100
3,CS 109,13,15,00100
4,CS 109,15,17,00100
5,CS 109,17,19,00100
6,CS 109,19,21,00100
7,CS 109,21,23,00100
8,CS 109,23,25,00100
9,CS 109,3,5,00010
10,CS 109,5,7,00010
11,CS 109,8,11,00010
12,CS 109,11,14,00010
13,CS 109,14,17,00010
14,CS 109,17,19,00010
15,CS 109,19,21,00010
16,CS 109,21,23,00010
17,CS 109,3,5,00010
18,CS 109,5,7,00010
19,CS 109,8,11,00010
20,CS 109,11,14,00010
21,CS 109,14,17,00010
22,CS 109,17,19,00010
23,CS 109,19,21,00010
24,CS 109,21,23,00010
25,CS 109,11,13,00001
26,CS 109,13,15,00001
27,CS 109,15,17,00001
28,CS 109,17,19,00001
29,CS 109,11,13,00001
30,CS 109,13,15,00001
31,CS 109,15,17,00001
32,CS 109,17,19,00001
33,CS 109,11,13,00001
34,CS 109,13,15,00001
35,CS 109,15,17,00001
36,CS 109,17,19,00001
0,CS 110,11,13,10101
1,CS 110,13,15,10101
2,CS 110,15,17,00100
3,CS 110,17,19,00100
4,CS 110,3,5,00010
5,CS 110,5,7,00010
6,CS 110,7,9,00010
7,CS 110,9,11,00010
8,CS 110,11,13,00010
9,CS 110,13,15,00010
10,CS 110,15,17,00010
11,CS 110,17,19,00010
0,CS 110L,5,7,01010
0,CS 140,7,9,10101
1,CS 140,17,19,10000
2,CS 140,17,19,01000
0,CS 142,5,7,10101
1,CS 142,9,11,10000
2,CS 142,19,21,01000
3,CS 142,7,9,00001
0,CS 143,14,17,01010
0,CS 151,14,17,01010
0,CS 155,11,14,01010
1,CS 155,15,17,00001
0,CS 166,14,17,01010
0,CS 168,11,14,10100
0,CS 181,14,17,10100
1,CS 181,17,19,00100
2,CS 181,3,5,00010
3,CS 181,5,7,00010
4,CS 181,14,17,00010
5,CS 181,17,19,00010
6,CS 181,5,7,00001
7,CS 181,7,9,00001
0,CS 181W,14,17,10100
0,CS 184,17,20,01000
0,CS 193P,17,20,10100
0,CS 193X,14,17,01010
0,CS 194,14,17,10100
0,CS 194A,17,20,00100
0,CS 194W,14,17,10100
0,CS 198,17,21,10000
1,CS 198,17,21,10000
2,CS 198,17,21,10000
3,CS 198,17,21,10000
0,CS 230,2,5,01000
1,CS 230,7,10,00001
2,CS 230,11,14,00001
3,CS 230,14,17,00001
4,CS 230,17,20,00001
5,CS 230,7,10,00001
6,CS 230,11,14,00001
7,CS 230,14,17,00001
8,CS 230,17,20,00001
0,CS 278,11,13,10100
0,ENGR 14,2,5,01010
0,ENGR 15,2,5,01010
0,ENGR 21,14,17,01010
0,ENGR 40M,14,17,10101
0,ENGR 50,5,7,10101
0,ENGR 62,11,14,10100
1,ENGR 62,11,14,00001
0,ENGR 80,11,13,10101
0,ENGR 102W,14,17,01010
0,ENGR 103,20,25,01000
1,ENGR 103,21,26,00100
2,ENGR 103,20,25,00010
3,ENGR 103,8,13,01000
4,ENGR 103,3,8,00100
0,ENGR 105,2,5,01010
0,ENGR 140A,17,21,10100
0,ENGR 145,11,14,01010
0,ENGR 154,3,7,01010
0,ENGR 155A,17,21,01010
0,ENGR 155B,17,21,01010
0,ENGR 177B,17,20,10100
0,ENGR 193,17,20,00100
0,CHEM 134,11,19,00100
1,CHEM 134,1,9,00010
2,CHEM 134,11,19,00010
3,CHEM 134,11,19,00001
0,ENGR 140A,17,21,10100
0,MS&E 93Q,11,17,01000
0,MS&E 111,11,14,10100
1,MS&E 111,11,14,00001
0,MS&E 121,7,11,01010
0,MS&E 140,3,7,10100
0,MS&E 152,2,5,01010
0,MS&E 178,19,21,10100
0,MS&E 182B,11,15,10101
0,MS&E 184,3,7,10100
0,MS&E 190,17,20,01010
0,MATSCI 81N,5,8,01010
0,MATSCI 90Q,14,17,01010
0,MATSCI 142,7,9,10101
0,MATSCI 144,11,14,01010
0,MATSCI 160,14,17,10000
0,MATSCI 190,14,17,01010
0,MATSCI 197,5,8,01010
1,MATSCI 197,8,11,00010
0,MATSCI 198,11,14,01010
0,MATSCI 199,2,5,01010
0,ME 2,3,5,00100
0,ME 70,11,14,10100
0,ME 80,11,14,01010
0,ME 101,17,21,01010
0,ME 102,5,8,10100
0,ME 103,13,19,10100
0,ME 104,9,13,10101
0,ME 104B,5,9,00001
0,ME 104S,7,11,00010
0,ME 110,23,28,00100
1,ME 110,23,28,00010
0,ME 115C,8,11,01010
0,ME 120,3,5,10101
0,ME 123,17,20,01010
0,ME 127,14,17,10100
0,ME 128,11,14,01000
0,ME 133,11,13,10101
0,ME 152,5,8,01010
0,ME 195A,7,10,00001
0,ME 216C,5,9,01010
